# Displaying trades for selected time interval: All
name,date,quantity,price,state
Onyx,2025-06-24 02:07 AM,2,2409548,BOUGHT
# Total profit: 0

Rune javelin,2025-06-24 02:07 AM,2266,113,BUYING
# Total profit: 0

Dragon bolts,2025-06-23 11:34 AM,1,4256,CANCELLED_BUY
Dragon bolts,2025-06-23 11:40 AM,1,4204,SOLD
Dragon bolts,2025-06-23 05:15 PM,961,4259,BOUGHT
Dragon bolts,2025-06-23 05:52 PM,961,4166,SOLD
# Total profit: -89425

Mithril arrow,2025-06-21 09:38 PM,13000,8,BOUGHT
Mithril arrow,2025-06-21 09:38 PM,13000,7,SOLD
# Total profit: -13000

Silver bar,2025-06-21 09:39 PM,39,91,CANCELLED_BUY
Silver bar,2025-06-21 09:43 PM,39,94,SOLD
# Total profit: 117

Bronze dart,2025-06-21 04:18 PM,6,13,BUYING
# Total profit: 0

Zamorak brew(3),2025-06-21 03:38 PM,3,400,CANCELLED_BUY
# Total profit: 0

Potato cactus,2025-06-21 03:02 PM,9900,38,BOUGHT
# Total profit: 0

Willow logs,2025-06-20 01:18 PM,367,55,CANCELLED_BUY
Willow logs,2025-06-20 01:25 PM,367,56,SOLD
Willow logs,2025-06-21 09:39 PM,16258,55,CANCELLED_BUY
Willow logs,2025-06-21 09:39 PM,16258,56,SOLD
Willow logs,2025-06-21 10:27 PM,1126,56,CANCELLED_BUY
Willow logs,2025-06-21 10:29 PM,1126,56,SOLD
# Total profit: 16625

Amulet of strength,2025-06-20 12:59 PM,125,1353,BOUGHT
Amulet of strength,2025-06-20 01:18 PM,33,1386,CANCELLED_SELL
Amulet of strength,2025-06-20 01:21 PM,92,1353,SOLD
# Total profit: 1089

Raw lobster,2025-06-20 01:17 PM,5004,71,CANCELLED_BUY
Raw lobster,2025-06-20 01:25 PM,5004,73,SOLD
# Total profit: 10008

Cake,2025-06-20 12:55 PM,6,151,CANCELLED_BUY
Cake,2025-06-20 01:00 PM,6,154,SOLD
# Total profit: 18

Plank,2025-06-20 12:36 PM,2745,327,BOUGHT
Plank,2025-06-20 12:51 PM,1454,341,CANCELLED_SELL
Plank,2025-06-20 01:11 PM,705,339,CANCELLED_SELL
Plank,2025-06-20 01:25 PM,586,336,SOLD
# Total profit: 34090

Santa hat,2025-06-20 09:06 AM,4,24835,BOUGHT
Santa hat,2025-06-20 12:36 PM,4,25703,SOLD
# Total profit: 3472

Iron platebody,2025-06-20 01:33 AM,125,124,BOUGHT
Iron platebody,2025-06-20 01:39 AM,125,167,SOLD
# Total profit: 5375

Soft clay,2025-06-20 01:38 AM,1061,103,CANCELLED_BUY
Soft clay,2025-06-20 02:15 AM,1061,105,SOLD
# Total profit: 2122

Vile ashes,2025-06-20 01:33 AM,2886,119,BOUGHT
Vile ashes,2025-06-20 09:06 AM,2886,122,SOLD
Vile ashes,2025-06-20 12:54 PM,1886,121,CANCELLED_BUY
Vile ashes,2025-06-20 01:11 PM,784,132,CANCELLED_SELL
Vile ashes,2025-06-20 01:44 PM,1102,130,SOLD
# Total profit: 27200

Ring of 3rd age,2025-06-20 01:26 AM,1,4013613,BOUGHT
Ring of 3rd age,2025-06-20 02:15 AM,1,4102506,SOLD
Ring of 3rd age,2025-06-20 09:47 AM,1,4013151,BOUGHT
Ring of 3rd age,2025-06-20 12:38 PM,1,4099175,SOLD
# Total profit: 174917

Wine of zamorak,2025-06-20 01:21 AM,5493,805,BOUGHT
Wine of zamorak,2025-06-20 01:22 AM,5493,812,SOLD
# Total profit: 38451

Oak logs,2025-06-20 09:06 AM,14060,63,BOUGHT
Oak logs,2025-06-20 09:18 AM,14060,64,SOLD
# Total profit: 14060

Mithril 2h sword,2025-06-20 01:05 AM,125,1314,BOUGHT
Mithril 2h sword,2025-06-20 01:29 AM,6,1364,CANCELLED_SELL
Mithril 2h sword,2025-06-20 01:57 AM,10,1363,CANCELLED_SELL
Mithril 2h sword,2025-06-20 09:06 AM,109,1368,SOLD
# Total profit: 6676

Leather,2025-06-20 12:36 AM,673,605,CANCELLED_BUY
Leather,2025-06-20 01:14 AM,673,605,SOLD
# Total profit: 0

Raw trout,2025-06-20 12:54 AM,1485,115,BOUGHT
Raw trout,2025-06-20 01:08 AM,1485,120,SOLD
# Total profit: 7425

Bluegill,2025-06-19 11:52 PM,315,155,CANCELLED_BUY
Bluegill,2025-06-20 12:35 AM,315,152,SOLD
# Total profit: -945

Unicorn horn,2025-06-19 06:03 PM,4638,816,CANCELLED_BUY
Unicorn horn,2025-06-19 10:57 PM,4638,808,SOLD
# Total profit: -37104

Uncut diamond,2025-06-19 04:26 PM,71,2165,CANCELLED_BUY
Uncut diamond,2025-06-19 04:33 PM,71,2168,SOLD
# Total profit: 213

Irit leaf,2025-06-19 01:46 PM,1769,1705,BOUGHT
Irit leaf,2025-06-19 02:58 PM,100,1673,CANCELLED_SELL
Irit leaf,2025-06-19 03:39 PM,1669,1680,SOLD
# Total profit: -44925

Pearl bolt tips,2025-06-18 08:44 PM,100,60,BOUGHT
Pearl bolt tips,2025-06-19 12:18 PM,100,42,SOLD
# Total profit: -1800

Bucket of wax,2025-06-18 08:52 PM,15,596,CANCELLED_BUY
Bucket of wax,2025-06-18 09:11 PM,15,172,SOLD
# Total profit: -6360

Dragon thrownaxe,2025-06-17 02:22 AM,356,362,BOUGHT
Dragon thrownaxe,2025-06-17 02:46 AM,356,358,SOLD
Dragon thrownaxe,2025-06-19 11:52 PM,3049,355,CANCELLED_BUY
Dragon thrownaxe,2025-06-20 12:35 AM,3049,348,SOLD
Dragon thrownaxe,2025-06-22 09:08 AM,9057,361,BOUGHT
Dragon thrownaxe,2025-06-22 09:43 PM,8482,361,BUYING
Dragon thrownaxe,2025-06-23 01:46 AM,10143,366,SOLD
Dragon thrownaxe,2025-06-23 08:58 AM,10620,361,BOUGHT
Dragon thrownaxe,2025-06-23 10:46 AM,1063,373,CANCELLED_SELL
Dragon thrownaxe,2025-06-23 11:34 AM,951,360,CANCELLED_SELL
Dragon thrownaxe,2025-06-23 01:28 PM,8606,360,SOLD
Dragon thrownaxe,2025-06-23 08:37 PM,11000,363,CANCELLED_BUY
Dragon thrownaxe,2025-06-23 11:03 PM,11000,359,SOLD
Dragon thrownaxe,2025-06-24 02:05 AM,3144,358,BUYING
Dragon thrownaxe,2025-06-24 02:07 AM,1046,363,SELLING
# Total profit: 1939

Grimy snapdragon,2025-06-16 11:56 PM,10,9407,BOUGHT
Grimy snapdragon,2025-06-16 11:57 PM,10,9281,SOLD
Grimy snapdragon,2025-06-17 01:49 AM,24,9366,BOUGHT
Grimy snapdragon,2025-06-17 01:51 AM,24,9462,SOLD
Grimy snapdragon,2025-06-18 04:05 PM,95,9505,BOUGHT
Grimy snapdragon,2025-06-18 04:05 PM,95,9461,SOLD
Grimy snapdragon,2025-06-19 02:37 PM,284,9607,BOUGHT
Grimy snapdragon,2025-06-19 03:14 PM,284,9614,SOLD
# Total profit: -1148

Raw shark,2025-06-16 11:38 PM,10,542,BOUGHT
Raw shark,2025-06-16 11:56 PM,10,540,SOLD
# Total profit: -20

Grimy cadantine,2025-06-16 10:45 PM,2693,2684,BOUGHT
Grimy cadantine,2025-06-16 11:09 PM,190,2635,CANCELLED_SELL
Grimy cadantine,2025-06-16 11:30 PM,2503,2643,SOLD
Grimy cadantine,2025-06-17 01:21 AM,100,2821,BOUGHT
Grimy cadantine,2025-06-17 01:49 AM,100,2688,SOLD
Grimy cadantine,2025-06-19 02:16 PM,1092,2763,BOUGHT
Grimy cadantine,2025-06-19 03:19 PM,501,2721,CANCELLED_SELL
Grimy cadantine,2025-06-19 03:22 PM,591,2721,SOLD
# Total profit: -171097

Guthix rest(4),2025-06-16 08:05 PM,2,4853,SOLD
# Total profit: 0

Harralander potion (unf),2025-06-16 07:47 PM,100,867,SOLD
# Total profit: 0

Grimy marrentill,2025-06-16 08:44 PM,39,631,CANCELLED_BUY
Grimy marrentill,2025-06-16 08:44 PM,39,677,SOLD
# Total profit: 1794

Grimy toadflax,2025-06-15 08:03 PM,100,3314,BOUGHT
Grimy toadflax,2025-06-15 08:33 PM,100,3249,SOLD
Grimy toadflax,2025-06-15 08:37 PM,10,3135,BOUGHT
Grimy toadflax,2025-06-15 08:37 PM,10,3234,SOLD
Grimy toadflax,2025-06-15 08:38 PM,10,3200,BOUGHT
Grimy toadflax,2025-06-15 08:40 PM,10,3234,SOLD
Grimy toadflax,2025-06-16 05:20 AM,912,3336,BOUGHT
Grimy toadflax,2025-06-18 06:40 PM,100,3401,BOUGHT
Grimy toadflax,2025-06-18 06:40 PM,100,3442,SOLD
# Total profit: 5430

Bronze bar,2025-06-15 07:59 PM,100,89,BOUGHT
Bronze bar,2025-06-15 08:00 PM,100,95,SOLD
Bronze bar,2025-06-15 08:59 PM,9900,83,BOUGHT
Bronze bar,2025-06-15 10:00 PM,9900,85,SOLD
Bronze bar,2025-06-18 02:01 AM,10000,80,BOUGHT
Bronze bar,2025-06-18 09:05 AM,10000,98,SOLD
Bronze bar,2025-06-23 03:53 AM,13000,99,BOUGHT
Bronze bar,2025-06-23 11:00 AM,13000,102,SOLD
Bronze bar,2025-06-23 05:38 PM,10000,100,BUYING
Bronze bar,2025-06-23 08:47 PM,570,102,CANCELLED_SELL
Bronze bar,2025-06-23 11:03 PM,9430,102,SOLD
Bronze bar,2025-06-23 11:56 PM,1,100,CANCELLED_SELL
Bronze bar,2025-06-24 12:17 AM,595,101,SOLD
Bronze bar,2025-06-24 01:26 AM,10000,100,CANCELLED_BUY
Bronze bar,2025-06-24 01:51 AM,9404,102,SOLD
# Total profit: 278803

Grimy dwarf weed,2025-06-15 07:56 PM,100,2862,BOUGHT
